epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3524.88,0.46095,0.54127,1.03638,0.98929,0.99667,0.995,0.96373,0.29635,0.20281,0.84972,0.0005941,0.0005941,0.0005941
43,3608.77,0.45336,0.54348,1.03135,0.99059,0.99875,0.995,0.96258,0.31709,0.20554,0.86902,0.0005842,0.0005842,0.0005842
44,3691.19,0.4449,0.527,1.03181,0.99153,0.99802,0.995,0.96351,0.30644,0.21046,0.85441,0.0005743,0.0005743,0.0005743
45,3773.52,0.44481,0.52292,1.02834,0.99507,0.99737,0.995,0.96062,0.30399,0.20779,0.85269,0.0005644,0.0005644,0.0005644
46,3858.35,0.45644,0.53263,1.0359,0.99329,0.99529,0.995,0.96689,0.28832,0.19677,0.83834,0.0005545,0.0005545,0.0005545
47,3942.73,0.45178,0.52073,1.03192,0.99296,0.99146,0.995,0.96679,0.29481,0.2013,0.84603,0.0005446,0.0005446,0.0005446
48,4029.24,0.44925,0.52342,1.03401,0.99553,0.99836,0.995,0.96969,0.28423,0.19359,0.83781,0.0005347,0.0005347,0.0005347
49,4111.25,0.44232,0.51853,1.02578,0.99314,0.99691,0.99493,0.96768,0.29211,0.18714,0.84308,0.0005248,0.0005248,0.0005248
50,4194.14,0.43791,0.49716,1.02291,0.99263,0.99842,0.995,0.97218,0.28791,0.18999,0.83466,0.0005149,0.0005149,0.0005149
51,4276.35,0.43703,0.50713,1.02032,0.99399,0.99548,0.995,0.96628,0.28519,0.19262,0.83918,0.000505,0.000505,0.000505
52,4360.34,0.44563,0.51229,1.02695,0.99256,0.99841,0.995,0.9704,0.28158,0.18505,0.8346,0.0004951,0.0004951,0.0004951
53,4443.39,0.43836,0.49221,1.02439,0.99453,0.99878,0.995,0.97179,0.27926,0.18311,0.83662,0.0004852,0.0004852,0.0004852
54,4526.67,0.43032,0.49385,1.0189,0.99193,0.99287,0.995,0.9711,0.28211,0.18947,0.8319,0.0004753,0.0004753,0.0004753
55,4609.84,0.42648,0.48087,1.02111,0.99411,0.99933,0.995,0.97188,0.27419,0.17524,0.82719,0.0004654,0.0004654,0.0004654
56,4694.19,0.43339,0.49277,1.02106,0.99353,0.99849,0.995,0.97125,0.28598,0.17941,0.83671,0.0004555,0.0004555,0.0004555
57,4776.95,0.42398,0.48691,1.02071,0.99589,0.99865,0.995,0.97335,0.27095,0.17621,0.82912,0.0004456,0.0004456,0.0004456
58,4861.29,0.4263,0.47038,1.01622,0.99057,0.99723,0.995,0.97236,0.27918,0.1834,0.832,0.0004357,0.0004357,0.0004357
59,4943.95,0.43022,0.48508,1.0239,0.99514,0.99735,0.995,0.97335,0.27487,0.1785,0.82974,0.0004258,0.0004258,0.0004258
60,5027.18,0.42445,0.48099,1.0151,0.99584,0.99832,0.995,0.97235,0.27725,0.17976,0.82898,0.0004159,0.0004159,0.0004159
61,5110.22,0.41994,0.47056,1.01465,0.99428,0.99839,0.995,0.97174,0.27593,0.17659,0.82568,0.000406,0.000406,0.000406
62,5193.38,0.41759,0.46049,1.01592,0.99455,0.99858,0.995,0.97333,0.267,0.17321,0.82392,0.0003961,0.0003961,0.0003961
63,5276.24,0.41869,0.45731,1.01889,0.99337,0.999,0.995,0.97529,0.26699,0.16731,0.82211,0.0003862,0.0003862,0.0003862
64,5360.16,0.41048,0.44586,1.00992,0.99592,0.99875,0.995,0.97475,0.274,0.17106,0.83026,0.0003763,0.0003763,0.0003763
65,5443.93,0.40815,0.44831,1.01021,0.99374,0.99847,0.995,0.97546,0.2617,0.16643,0.8187,0.0003664,0.0003664,0.0003664
66,5527.58,0.41308,0.45513,1.01205,0.9932,0.99975,0.995,0.97319,0.27456,0.16906,0.82819,0.0003565,0.0003565,0.0003565
67,5610.6,0.40509,0.45033,1.0072,0.99505,0.99966,0.995,0.97579,0.27098,0.17054,0.82456,0.0003466,0.0003466,0.0003466
68,5693.37,0.41284,0.45391,1.01541,0.99515,0.99936,0.995,0.97445,0.26597,0.1656,0.82132,0.0003367,0.0003367,0.0003367
69,5776.9,0.40666,0.44373,1.01051,0.99571,0.99874,0.995,0.97543,0.26086,0.15913,0.81648,0.0003268,0.0003268,0.0003268
70,5859.43,0.39719,0.42434,1.00359,0.99464,0.99917,0.995,0.97523,0.26723,0.16364,0.82201,0.0003169,0.0003169,0.0003169
71,5942.25,0.392,0.42449,1.00063,0.99615,0.99855,0.995,0.9737,0.26242,0.16215,0.81843,0.000307,0.000307,0.000307
72,6025.24,0.40007,0.42386,1.00301,0.99425,0.99983,0.995,0.97757,0.25285,0.15725,0.81296,0.0002971,0.0002971,0.0002971
73,6108.76,0.40083,0.42963,1.00277,0.99496,1,0.995,0.97737,0.25262,0.15858,0.80756,0.0002872,0.0002872,0.0002872
74,6190.49,0.39034,0.41282,0.99827,0.99527,1,0.995,0.97663,0.25722,0.15926,0.81239,0.0002773,0.0002773,0.0002773
75,6273.45,0.39922,0.42472,1.00131,0.99512,1,0.995,0.97708,0.2505,0.15709,0.80674,0.0002674,0.0002674,0.0002674
76,6358.05,0.38727,0.40722,0.99561,0.99522,0.99854,0.995,0.97857,0.25016,0.15703,0.80677,0.0002575,0.0002575,0.0002575
77,6441.8,0.38831,0.4108,0.99084,0.99603,1,0.995,0.97837,0.25112,0.15466,0.80615,0.0002476,0.0002476,0.0002476
78,6524.65,0.38233,0.40952,0.99314,0.99456,0.99827,0.995,0.98033,0.24552,0.15587,0.80257,0.0002377,0.0002377,0.0002377
79,6607.89,0.37813,0.40561,0.98993,0.9965,0.99819,0.995,0.97822,0.24856,0.15539,0.80766,0.0002278,0.0002278,0.0002278
80,6690.31,0.38389,0.41153,1.00078,0.99577,0.99859,0.995,0.97879,0.25239,0.15528,0.81026,0.0002179,0.0002179,0.0002179
81,6773.18,0.38741,0.40555,0.99694,0.99544,0.99896,0.995,0.97837,0.25352,0.15752,0.8094,0.000208,0.000208,0.000208
82,6855.5,0.3768,0.38834,0.99185,0.99594,0.99911,0.995,0.9775,0.2464,0.15314,0.80381,0.0001981,0.0001981,0.0001981
83,6938.34,0.37452,0.38579,0.98954,0.99515,0.99911,0.995,0.97912,0.24596,0.15108,0.80488,0.0001882,0.0001882,0.0001882
84,7020.78,0.37246,0.38883,0.99181,0.99585,0.99902,0.995,0.97856,0.24634,0.15266,0.80553,0.0001783,0.0001783,0.0001783
85,7104.36,0.37269,0.39071,0.9885,0.99568,1,0.995,0.97695,0.24865,0.15251,0.8058,0.0001684,0.0001684,0.0001684
86,7186.59,0.36634,0.38545,0.98952,0.99657,0.99909,0.995,0.97847,0.24324,0.14937,0.80292,0.0001585,0.0001585,0.0001585
87,7269.36,0.36536,0.3749,0.98599,0.99644,0.99902,0.995,0.97976,0.24149,0.14806,0.80202,0.0001486,0.0001486,0.0001486
